id,src,txt
47040,wiki,"On 20 October 1944, German and Chetnik forces attacked the Partisan Vladimir Gortan Brigade in Bukovje, with the loss of 25 Partisan soldiers and about 100 Axis soldiers."
97974,wiki,"In 1708, when autonomous Serbian Metropolitanate in Habsburg Monarchy was created, Eparchy of Srem became archdiocese of the Metropolitan, whose seat was in Sremski Karlovci."
186585,wiki,"After the end of the Russo-Japanese War of 1905, the Russian Naval General Staff decided that it needed a squadron of fast armoured cruisers that could use their speed to engage the leader of an enemy's battle line, as Admiral Tōgō had done against the Russian fleet during the Battle of Tsushima."
97975,wiki,Eparchy of Srem remained part of Metropolitanate of Karlovci until 1920.
179577,wiki,"On 16 November 1929, he participated in All-India Muslim League session at Allahabad, All India Khilafat Conference at Ajmer, All Parties Muslim Unity Conference and Azad Sindh Conference at Karachi (1930)."
140934,wiki,"Those and like folk have caused  Dalmatian bishops such as Josif Rajačić, Pantelejmon Živković and Jerotije Mutibarić to flee from Dalmatia and seek refuge in other diocese...."
145944,wiki,"In 1784, after an agreement between the Mysore province and British army, Dindigul was restored by Mysore province."
139025,wiki,"In 1883-1886, Székely Hungarians from Bukovina were settled in Vojlovica, Skorenovac, Ivanovo and Đurđevo."
97956,wiki,"In 1920, after the unification of all Serbian ecclesiastical provinces into one united Serbian Orthodox Church, old Eparchy of Syrmia with its seat in Sremski Karlovci came under direct administration of Archbishop of Belgrade who was also the Serbian Patriarch."
91840,wiki,"During the regime of Carmelites, the Mangalorean Catholics constantly sent memorandums to the Holy See to send Jesuits to Mangalore to start institutions for higher education, since students frequently had to go to Bombay and Madras for educational purposes."
