id,src,txt
51725,qnli,"In May 2008, Cyclone Nargis caused extensive damage in the densely populated, rice-farming delta of the Irrawaddy Division."
46525,qnli,"In addition, most eukaryotic open reading frames contain untranslated introns which are removed before the exons are translated."
17815,qnli,"The birds have also suffered from the introduction of mammals such as rats, cats, pigs and goats, as well as from introduced competitors such as common blackbirds and crimson rosellas."
17895,qnli,Each tRNA has three unpaired bases known as the anticodon that are complementary to the codon it reads on the mRNA.
26437,qnli,"The motor's armature current is supplied through the stationary brushes in contact with the revolving commutator, which causes required current reversal and applies power to the machine in an optimal manner as the rotor rotates from pole to pole."
45954,qnli,"Ozawa's main attack lacked coordination, with the Japanese planes arriving at their targets in a staggered sequence."
15957,qnli,Wu Chinese has a three-way distinction in stops and affricates: /p
50677,qnli,"As each coil is energized in turn, the rotor aligns itself with the magnetic field produced by the energized field winding."
5971,qnli,"Kathmandu is dissected by eight rivers, the main river of the valley, the Bagmati and its tributaries, of which the Bishnumati, Dhobi Khola, Manohara Khola, Hanumant Khola, and Tukucha Khola are predominant."
29482,qnli,"Dogs are also susceptible to parasites such as fleas, ticks, and mites, as well as hookworms, tapeworms, roundworms, and heartworms."
