id,src,txt
55303,qnli,"""On the last day of Carnival painters flood the street to paint each other."
3203,qnli,"Hellenistic art saw a turn from the idealistic, perfected, calm and composed figures of classical Greek art to a style dominated by realism and the depiction of emotion (pathos) and character (ethos)."
54979,qnli,""" Dance both in its traditional form and its more modern forms has remained a central cultural currency to Samoans, especially youths."
33923,qnli,"Under the Köppen climate classification, the Sichuan Basin (including Chengdu) in the eastern half of the province experiences a humid subtropical climate (Köppen Cwa or Cfa), with long, hot, humid summers and short, mild to cool, dry and cloudy winters."
21719,qnli,"The municipality is a net importer of workers, with about 5.7 workers entering the municipality for every one leaving."
30101,qnli,It emerged in Japan from stick gymnastics.
22866,qnli,"The popularity of this particular representation of The Immaculate Conception spread across the rest of Europe, and has since remained the best known artistic depiction of the concept: in a heavenly realm, moments after her creation, the spirit of Mary (in the form of a young woman) looks up in awe at (or bows her head to) God."
37648,qnli,"This is an exaggeration, for although it was a major first step towards Cubism it is not yet Cubist."
18184,qnli,"In advanced gymnastics, multiple twists and somersaults may be added before landing."
19012,qnli,"In comparison with Osios Loukas Nea Moni mosaics contain more figures, detail, landscape and setting."
