id,src,txt
38600,books,"cover images : alyssa ochs/ alyssa ochs photography no part of this book is available for reproduction , scanning or distributing without permission of the publisher or copyright owner in any form ."
106168,books,"if you are reading this book and did not purchase it , or it was not purchased for your use only , then please return to smashwords.com and purchase your own copy ."
105688,books,"a war breaks out here , an oil drilling platform develops a leak there , a country defaults on its debt , a tsunami hits a nuclear power station , or whatever ."
72871,books,"if you 're reading this book and have not downloaded it , or it was not downloaded for your use only , please return to smashwords.com and purchase your own copy ."
126205,books,"i stand up and walk over to him , reaching up on my tip toes to brush my lips against his briefly ."
14291,books,"he clears his throat and continues from what i gather , there have always been stories about a second generation of nephilim rising up , it would all begin suddenly , there would be outbreaks of war and natural disasters , there would be earth quakes and storms ."
99005,books,"this book may be reproduced , copied , and distributed for non-commercial purposes , provided the book remains in its original form ."
44501,books,"`` callum - '' sonia whispered again but his mouth moved over her jaw , took hers in a hungry kiss and she was instantly lost ."
138534,books,"if youre reading this book and did not purchase it , or it was not purchased for your use only , then please return to smashwords.com and purchase your own copy ."
73804,books,"if youre reading this book and did not purchase it , or it was not purchased for your use only , then please return to smashwords.com and purchase your own copy ."
