id,src,txt
21228,qnli,"Rupert Murdoch, head of The Sun's parent company News Corporation, speaking at a 2007 meeting with the House of Lords Select Committee on Communications, which was investigating media ownership and the news, said that he acts as a ""traditional proprietor""."
12900,qnli,"On 15 October 1969, while paying a visit to the northern town of Las Anod, Somalia's then President Abdirashid Ali Shermarke was shot dead by one of his own bodyguards."
38990,qnli,"During the campaign for the United Kingdom general election, 2010, The Independent ran ads declaring that ""Rupert Murdoch won't decide this election – you will."""
44691,qnli,"Islamists in Egypt, particularly members of the politically persecuted Brotherhood, viewed Nasser as oppressive, tyrannical, and demonic."
22414,qnli,"In January 1952, he and Hassan Ibrahim attempted to kill the royalist general Hussein Sirri Amer by firing their submachine guns at his car as he drove through the streets of Cairo."
58231,qnli,"He introduced conscription of the male peasantry in 19th century Egypt, and took a novel approach to create his great army, strengthening it with numbers and in skill."
29646,qnli,"In Hellenistic times, especially during the 3rd century BCE, as Apollo Helios he became identified among Greeks with Helios, Titan god of the sun, and his sister Artemis similarly equated with Selene, Titan goddess of the moon."
11625,qnli,"Only the Estonian Independent Signal Battalion showed resistance to Red Army and Communist militia ""People's Self-Defence"" units in front of the XXI Grammar School in Tallinn on 21 June."
18678,qnli,"In a study published in the Journal of Behavioural and Experimental Economics, and reported on in early May 2014, researchers from the University of Portsmouth in the UK discussed findings from examining the illegal downloading behavior of 6,000 Finnish people, aged seven to 84."
31693,qnli,"Somali art is characterized by its aniconism, partly as a result of the vestigial influence of the pre-Islamic mythology of the Somalis coupled with their ubiquitous Muslim beliefs."
