id,src,txt
152933,qqp,2015 NFL Playoffs: Can Dallas beat Green Bay in the 2015 NFC Divisional Round?
132879,qqp,"2014 NFL Playoffs: In his 58-yard run against the Seahawks, did Colin Kaepernick run out of gas? Why didn't he score?"
54043,qqp,Do I buy Samsung Galaxy a7 (2016) in $240 it has cracks over back cover ?
101457,qqp,How can ı improve my speaking skills in English?
84371,qqp,"Pakistan's national anthem is in Farsi, a language understood by a few. Why not Urdu, Sindhi, Punjabi which are understood by many? (Bengali and Pushto can be added in the list too.)"
147517,qqp,Should I learn Romanian as a second language?
61014,qqp,How can I learn the European Portuguese?
21914,qqp,How can I complete 1600 metre in 6 minute?
161074,qqp,The normal magnesium level in blood plasma is 2.5 mEq/L. What is the concentration in mg/100 ml? (Atomic weight of magnesium = 24.)
128772,qqp,How quickly could I learn Spanish with Rosetta stone?
