id,src,txt
178948,wiki,"The average household size was 2.34 and the average family size was 2.98.In the county, the population was spread out with 24.50% under the age of 18, 6.90% from 18 to 24, 27.40% from 25 to 44, 28.80% from 45 to 64, and 12.30% who were 65 years of age or older.  "
74103,wiki,"The average household size was 2.58 and the average family size was 3.10.In the county, the population was spread out with 29.00% under the age of 18, 9.20% from 18 to 24, 27.00% from 25 to 44, 21.80% from 45 to 64, and 13.00% who were 65 years of age or older.  "
62789,wiki,"The average household size was 2.49 and the average family size was 3.14.The population was spread out with 27.5% under the age of 18, 11.7% from 18 to 24, 29.2% from 25 to 44, 18.4% from 45 to 64, and 13.1% who were 65 years of age or older.  "
74122,wiki,"The per capita income for the county was $17,187."
178544,wiki,"The average household size was 2.31 and the average family size was 2.83.In the county, the population was spread out with 22.40% under the age of 18, 6.30% from 18 to 24, 27.40% from 25 to 44, 26.70% from 45 to 64, and 17.20% who were 65 years of age or older.  "
189467,wiki,"The average household size was 3.2 and the average family size was 3.7.In the city, the population was spread out with 33.6% under the age of 18, 9.7% from 18 to 24, 28.9% from 25 to 44, 18.5% from 45 to 64, and 9.3% who were 65 years of age or older.  "
30482,wiki,"The average household size was 2.39 and the average family size was 3.03.27.3% of the population were under the age of 18, 8.5% from 18 to 24, 29.1% from 25 to 44, 17.9% from 45 to 64, and 17.2% who were 65 years of age or older."
36930,wiki,"The average household size was 2.03 and the average family size was 2.88.In the city, the population was spread out with 12.6% under the age of 18, 13.7% from 18 to 24, 38.4% from 25 to 44, 17.3% from 45 to 64, and 18.0% who were 65 years of age or older.  "
6469,wiki,"The average household size was 2.12 and the average family size was 2.64.In the city, the population was spread out with 20.0% under the age of 18, 3.6% from 18 to 24, 20.1% from 25 to 44, 31.8% from 45 to 64, and 24.6% who were 65 years of age or older."
158111,wiki,"The per capita income for the county was $20,202."
