id,src,txt
38808,qqp,"I heard your husband had a extra marital affair, is that true?"
41075,qqp,Hello sir your answer was helful to me but I want to do to text captcha hows can I do that?
150521,qqp,I am working in Human Resources from 9 years I have total of 13 years of valid education what is the best way to migrate and which country URGENT?
153842,qqp,"I want to start a blogger but I don't know what content to start blogging about, can you help me?"
84742,qqp,Are there online store where can I get makeup products to sell as a retailer?
13034,qqp,Is it possible to get job in Germany after an MS from Slovakia?
14232,qqp,Nightlife: Is it legal discrimination when bars and clubs allow women to dance on pedastols but do not allow men to do the same?
143192,qqp,Hi I'm mehrab I want to ask how many years it would take to become a doctor in Dubai?
84351,qqp,"Who do you recommend me as the Director of my Hong Kong based company in order to keep costs low? Myself (EU citizen/resident), a foreign Nominee or a HK-id local resident as Nominee?"
80044,qqp,"I'm working on my startup (launching in Feb 2015) but I'm also working at a corporate day job. I'd like to tell everyone about it and market the company as the founder. However, I'm not ready to quit my day job yet until there's solid traction. Is it okay for me to disclose this without getting fired?"
