id,src,txt
54301,books,"vestigial wings beat on its back , identifying it as one of the hunters ."
149227,books,i was quickly surrounded by the only family i had left and could no longer hold back the tears when candice and her mom covered me with hugs .
66923,books,`` right . ''
26182,books,but that 's it ?
158199,books,am i handling it right now ?
149166,books,"nor did he ever increase his prices , as he was afraid of losing business ."
99494,books,the cells were empty this night .
193648,books,the vestibule opened out onto a landing before a wide staircase .
190786,books,"after listening through the messages ( sometimes twice ) , danny faces a different set of options ."
18419,books,"true enough , she thought , and the move made sense if she was offered the job at the publishing house ."
