id,src,txt
5395,wiki,"It has an average elevation of 345 metres (1131 feet).Earlier, Gooty was in the rule of Mysore kingdom under Tipu Sultan."
79838,wiki,"In 2012, the Los Angeles Times reported the prediction that the wine shops, cafes, restaurants and other businesses opening on Rose Avenue—adjacent to Oakwood—would soon lead to the other streets of Venice being transformed into upmarket areas."
48327,wiki,"Her former supervisor, Weiland, was waiting for her close to the ticket counter, and tried to convince her to remain in the organization."
154998,wiki,CAEP promotes friendship and appreciation between the children and teachers in U.S. and China through the universal language of art.
193474,wiki,"As of 2017, a complete version of the film has never been released by Toho in any home video format."
73892,wiki,"Canada sanctioned 40 Venezuelan officials, including Cabello, in September 2017."
146249,wiki,"He died on 22 September 2014, aged 58."
128414,wiki,"The current passes through the patient’s oral cavity through a wire as it completes the circuit from the active electrosurgical unit to the secondary return electrode, cutting the oral tissues as heat is produced."
86676,wiki,"The genius remixers worked magic!""The only Newton-John soundtrack track to actually appear in the film is ""Weightless"", which is featured in the closing credits."
164212,wiki,"Feedback control is a situated form of motor control, relying on sensory information about performance and specific sensory input from the environment in which the movement is carried out."
