id,src,txt
51217,qqp,What are the reasons for nightfall?
77715,qqp,What's the most creative YouTube film or series that you've ever seen?
135162,qqp,Why do/ don't you think that there is (or should be) a life after death?
5724,qqp,"Should I buy a new Honda Accord 2015 or a used Ferrari, both the same price?"
155809,qqp,Which country is the most difficult to invade?
84060,qqp,How should I write an introduction for a compare and contrast essay?
23677,qqp,"Who would win in a battle, Lord Voldemort with his legion or Agent Smith with his clones?"
124027,qqp,What is the best place to learn Japanese in Mumbai?
156104,qqp,Which are some of the best novels by John Green?
40934,qqp,Have I been a burden to my ex?
