id,src,txt
102405,qqp,What are some major social faux pas to avoid when visiting Palestine?
52979,qqp,If I write a book about Astana – the capital of Kazakhstan – will it be interesting?
74830,qqp,How long can a human being go without sleep? Is this something safe to do?
26385,qqp,What is an online market place?
159299,qqp,What should I do in image processing?
19030,qqp,What is economics?
48117,qqp,How do I make a really good cover letter for an internship?
84759,qqp,Does stress or depression lead to mental illness?
69164,qqp,What are some real-life applications of set theory?
69737,qqp,How would you go about starting a consulting company?
