id,src,txt
104459,wiki,"It was published on December 22, 1987, by Narosa publishing house."
51059,wiki,Iraq does not currently observe daylight saving time.
103486,wiki,"The network also marks the occurrence of a film actor's birthday (either antemortem or posthumously) or recent death with day- or evening-long festivals showcasing several of that artist's best, earliest or least-known pictures; by effect, marathons scheduled in honor of an actor's passing (which are scheduled within a month after their death) pre-empt films originally scheduled to air on that date."
51058,wiki,Time in Iraq is given by Arabia Standard Time (AST) (UTC+03:00).
103462,wiki,"Turner Classic Movies essentially operates as a commercial-free service, with the only advertisements on the network being shown between features – which advertise TCM products, network promotions for upcoming special programs and the original trailers for films that are scheduled to be broadcast on TCM (particularly those that will air during the primetime hours), and featurettes about classic film actors and actresses."
16980,wiki,"As a part of these responsibilities, the department tracks traffic volumes along its roadways until a metric called average annual daily traffic (AADT)."
146427,wiki,"The Xperia XZ2 is powered by the Qualcomm Snapdragon 845, built on a 10 nm process technology with 8 custom Kryo 385 processors (4x 2.7 GHz and 4x 1.7 GHz), 4/6 GB of LPDDR4X RAM and uses the Adreno 630 for graphics rendering."
53798,wiki,The highest property tax relief in Pennsylvania went to the residents of Chester Upland School District of Delaware County who received $632 per approved homestead.
133258,wiki,The most popular party was the LEGA which received 26 or 40.0% of the vote.
146452,wiki,"The Xperia XZ2  also comes with Battery Care, Sony's proprietary charging algorithm that controls the charging process of the phone through machine learning."
