id,src,txt
158003,books,"aithnea walked up to tom and tom looked down , ashamed of failing her ."
57885,books,"before lemon went with the nurse to another room , a tall man approached them ."
160365,books,he nodded towards lexi and she stood up and offered him her hand .
73597,books,beth gave louisa a warm hello and squeezed her hand as louisa sat down beside her .
3221,books,"cathryn knelt down next to keira , her voice earnest ."
196139,books,"they walked over to the weapon rack , and carnat picked out a compound bow for ash , rather than a crossbow ."
85628,books,yet leyna fidgeted still as adri rose from the ground slowly .
55262,books,getting a bowl of warm water emma sat next to matt and started to bathe away the dried blood .
151958,books,"as they stepped down , a large officer with an exaggerated belly and awkward walk approached ."
100938,books,"stepping out into the hall leaving the admissions office , tomi wrapped herself around rick 's right arm hugging it hard ."
