id,src,txt
41721,books,chewy nodded and she continued .
132056,books,his gaze shifted to ice and after a moment of scrutiny he continued .
87477,books,"i looked over at dardennes and he nodded his head at me , so i continued ."
133864,books,she giggles with a girly tone then continues .
69958,books,he came up and extended a hand to darrence .
54809,books,the pair vanished in a flash of light and baye continued on his way .
124295,books,gaius offered her an icy glare .
71785,books,"maisie held out a hand for the empty glass , ready to refill it ."
77832,books,cassandra groaned to herself .
164059,books,trevor hung up the phone and strolled over to me .
