id,src,txt
190207,books,chapter 2 gin strode over to the elemental ice bar .
72871,books,"if you 're reading this book and have not downloaded it , or it was not downloaded for your use only , please return to smashwords.com and purchase your own copy ."
183795,books,"'whenever you wish , drosta ."
99005,books,"this book may be reproduced , copied , and distributed for non-commercial purposes , provided the book remains in its original form ."
129041,books,"second , no series-essential events have been altered or deleted ."
158361,books,"if you would like to share this book with another person , then please purchase an additional copy for this purpose ."
106168,books,"if you are reading this book and did not purchase it , or it was not purchased for your use only , then please return to smashwords.com and purchase your own copy ."
46923,books,"if you would like to share this book with another person , please purchase an additional copy for each recipient ."
162306,books,"if you would like to share this book with another person , please purchase an additional copy for each recipient ."
148592,books,"if you would like to share this book with another person , please purchase an additional copy for each recipient ."
