id,src,txt
113016,books,"hail grandmother spirit of the west , i seek your wisdom and guidance this night ."
133639,books,@ warned mr dawson .
116688,books,dr. holbrook caught up to her .
160427,books,at least i had n't had to tell him his mother was a murderer ... but still .
132751,books,`` you were my cherry girl when you were little . ''
30574,books,the lunacy !
31406,books,i want to talk to you about what the hell is going on . ''
91386,books,"where the hell was thorne and why had n't he come back , preferably with marguerite strapped across his back ?"
188579,books,"`` umm , i need to go check on something . ''"
2725,books,`` i did n't know i was deciding never to see him again . ''
