id,src,txt
28786,qqp,"In documentary program """"Barbarians ""The Mongols"""" for History Channel, why are white actors portraying Mongols instead of Asian actors?"
70217,qqp,Blade Runner (1982 movie): Why does Roy Batty save Deckard?
97368,qqp,International Relations: Why doesn't US team up with Assad and Russia to fight ISIL?
147893,qqp,"In Season 3 of Madam Secretary, why did they decide not to make Elizabeth the VP candidate?"
126108,qqp,"A Storm of Swords (2000 book): In the book, does Theon get tortured for such a long time (as on the show)?"
67978,qqp,Emoticons: How does one create and implement a custom emoji in Whatsapp?
30106,qqp,Are there battles based on card traits in Pokémon GO?
41091,qqp,Superheroes: Why does the Superman in Man of Steel not wear his red underwear?
103792,qqp,"The Wire (TV series): Why did Cheese think the dog fight was fixed in episode ""All Due Respect""?"
115863,qqp,Content That Contains Spoilers: Why did Lagertha kill Kalf in the Vikings? Did she know that Kalf tried to kill her son?
