id,src,txt
91886,qqp,My husband oagles at girls much younger to him even when he is with me also. How should I handle this as it irritates me?
90895,qqp,How can the area of shaded region be calculated in the picture below?
29303,qqp,Does not taking honors classes in freshman year of high school affect my chances of getting into Harvard? I still had a 4.0 GPA in all regulars class
149215,qqp,"Why do my parents want to take everything I love from me? My dad keeps me from doings sports, being with friends, and even sometimes going to school."
52939,qqp,How do I take away the pain of being single and still motivate myself to pursue things? I don't see the point in chasing goals and achieving peaks.
69558,qqp,Where do we have to stay while pursuing MS in U.S.A?As far as I know there are no universities which provide hostel facilities
2542,qqp,"Am I being selfish? I drive to college by car once a week, and sometimes my friends come along. I have to go out of my way to pick them up and it really annoys me."
141462,qqp,She hurt me. How can I tell if I am still with her because of love or because I'm scared to be alone and pathetic? I truly feel like I love her.
141554,qqp,Anybody there? Need guidance for Physics as an optional in CSE mains preparation! How can I really maximise my hold on the subject while keeping in pace with General Studies? - A 2016 aspirant.
96151,qqp,I know my friend has cheated on her boyfriend but she doesn’t know I know. How do I continue to support her and be there for her?
