id,src,txt
27496,qnli,"Lactose intolerance varies widely by ethnic heritage; more than 90 percent of peoples of east Asian descent are lactose intolerant, in contrast to about 5 percent of people of northern European descent."
18888,qnli,"In the 17th century, the Somers Isles Company suppressed shipbuilding, as it needed Bermudians to farm to generate income from the land."
34904,qnli,"In the 16th century, Count Hieronymus Schlick of Bohemia began minting coins known as Joachimstalers (from German thal, or nowadays usually Tal, ""valley"", cognate with ""dale"" in English), named for Joachimstal, the valley where the silver was mined (St. Joachim's Valley, now Jáchymov; then part of the Kingdom of Bohemia, now part of the Czech Republic)."
41617,qnli,"Some research suggest that there are genetic causes of early sexual activity that are also risk factors for delinquency, suggesting that there is a group who are at risk for both early sexual activity and emotional distress."
42810,qnli,"Several diet books quote beer as having an undesirably high glycemic index of 110, the same as maltose; however, the maltose in beer undergoes metabolism by yeast during fermentation so that beer consists mostly of water, hop oils and only trace amounts of sugars, including maltose."
44289,qnli,"Adam Smith's Wealth of Nations, published in 1776, had argued that colonies were redundant, and that free trade should replace the old mercantilist policies that had characterised the first period of colonial expansion, dating back to the protectionism of Spain and Portugal."
47125,qnli,"A wide array of sports are played in Armenia, the most popular among them being wrestling, weightlifting, judo, association football, chess, and boxing."
3398,qnli,One person households account for 30.5% of all households and 8.7% of all households had someone living alone who is 65 years of age or older.
49285,qnli,"The Times was founded by publisher John Walter on 1 January 1785 as The Daily Universal Register, with Walter in the role of editor."
12509,qnli,"In the city the population was spread out with 25.7% under the age of 18, 8.9% from 18 to 24, 31.0% from 25 to 44, 20.2% from 45 to 64, and 14.2% who were 65 years of age or older."
