id,src,txt
155861,wiki,"Various Native American tribes have used stinging nettles for centuries, including the Lakota using the root for stomach pain, the Ojibwa using the stewed leaves for skin issues and used it to fight dysentery, the Potawatomi using the roots for fever reduction, and the Winnebago used nettles for allergy symptoms."
24677,wiki,"However, a small number of brown recluse bites do produce severe dermonecrotic lesions (i.e. necrosis); an even smaller number produce severe cutaneous (skin) or viscerocutaneous (systemic) symptoms."
157544,wiki,"In turn, bluegill are prey to many larger species, including largemouth bass, smallmouth bass, trout, muskellunge,  turtles, northern pike, yellow perch, walleye, catfish, and even larger bluegill.  "
138187,wiki,"The single Hector's or Māui dolphin death attributed to fishing was captured in a set net off Cape Egmont, in Taranaki waters in January 2012.In 2019, a government-funded risk assessment model fitted to fisheries observer capture records estimated that less than 0.3 Hector's or Māui dolphins die each year in commercial set nets on the West Coast of the North Island, and less than 0.1 die each year in commercial trawls."
119111,wiki,"Recent polls demonstrate that between 80% and 90% of Americans approve of abortion in the case of poor health, defective fetus, or rape, and between 40% and 50% indicate approval for other reasons."
127512,wiki,"Up and down the coast of the Eastern U.S., the bamboo clam, ensis directus, is prized by Americans for making clam strips although because of its nature of burrowing into the sand very close to the beach, it cannot be harvested by mechanical means without damaging the beaches."
138182,wiki,"South Island Hector's and Māui dolphins may drown after becoming entangled in fishing nets, including commercial set net and trawls, as well as recreational nets."
165986,wiki,"The farmstead dates to the 1920s and includes a house, barn, garage and a variety of outbuildings."
86586,wiki,"Because the majority of burials occurred within the Early Victorian period, there are few white marble monuments and none of the elaborate marble figures that are a feature of Late Victorian and Edwardian cemeteries."
134041,wiki,"Stadium subsidies can come in the form of tax-free municipal bonds, cash payments, long-term tax exemptions, infrastructure improvements, and operating cost subsidies.  "
