id,src,txt
51282,qnli,"KU branch campuses are located in the towns of Lawrence, Wichita, Overland Park, Salina, and Kansas City, Kansas, with the main campus located in Lawrence on Mount Oread, the highest location in Lawrence."
56618,qnli,His tendencies in this regard may have been accentuated by diabetes...
11511,qnli,In recent decades the game of pool (both the British and American versions) has increased in popularity as well as other table based games such as snooker or Table Football becoming common.
58416,qnli,Col. Moultrie's men returned fire and inflicted heavy damage on several of the British ships.
31880,qnli,Devices must be held or put in the seat-back pocket during the actual takeoff and landing.
47510,qnli,"UTF-8 uses one byte for any ASCII character, all of which have the same code values in"
44452,qnli,"Also, the inclusion of Bader Field in the district was controversial and received much scrutiny from mayor Lorenzo Langford, who cast the lone ""no"" vote on the creation of the district citing its inclusion."
4523,qnli,"After the assassination of William of Orange (10 July 1584), both Henry III of France and Elizabeth I of England declined the offer of sovereignty."
15722,qnli,"This absolute protection or full value view treats intellectual property as another type of ""real"" property, typically adopting its law and rhetoric."
20041,qnli,"After the war, surging enrollments under the G.I. Bill drove drastic expansion of both campuses."
